id,week,center_id,meal_id,checkout_price,base_price
1028232,146,55,1885,158.11,159.11
1127204,146,55,1993,160.11,159.11
1212707,146,55,2539,157.14,159.14
1082698,146,55,2631,162.02,162.02
1400926,146,55,1248,163.93,163.93
1284113,146,55,1778,190.15,190.15
1197966,146,55,1062,191.09,192.09
1132739,146,55,2707,242.56,240.56
1057981,146,55,1207,360.9,360.9
1095932,146,55,1230,383.18,384.18
1454421,146,55,2322,389,390
1149765,146,55,2290,302.64,303.64
1166964,146,55,1727,466.63,465.63
1010949,146,55,1109,309.43,310.43
1409575,146,55,2577,320.13,320.13
1181616,146,55,2640,319.13,319.13
1456020,146,55,2826,377.33,379.33
1264395,146,55,1754,329.86,329.86
1472931,146,55,1971,344.35,344.35
1412015,146,55,1198,135.8,190.18
1461229,146,55,1311,184.36,228.01
1014564,146,55,1803,190.18,243.53
1485914,146,55,1558,562.6,562.6
1345389,146,55,2581,563.6,563.6
1006833,146,55,1962,562.6,563.6
1174921,146,55,2444,726.53,727.53
1175393,146,55,2867,726.53,727.53
1152412,146,55,1525,320.13,319.13
1497398,146,55,2704,320.13,321.13
1363486,146,55,2492,388.03,387.03
1366766,146,55,1543,486.03,484.03
1192413,146,55,2304,486.03,484.03
1319547,146,55,2664,312.34,312.34
1337684,146,55,2569,312.34,314.34
1479766,146,55,2490,290.03,292.03
1460444,146,24,1885,158.11,160.11
1139730,146,24,1993,160.11,159.11
1115056,146,24,2539,158.14,157.14
1335827,146,24,2139,291.03,292.03
1385333,146,24,1778,193.06,192.06
1096323,146,24,1062,192.09,192.09
1230693,146,24,2707,237.68,236.68
1027016,146,24,1207,361.81,361.81
1181520,146,24,1230,389,389
1306234,146,24,2322,383.15,384.15
1271440,146,24,2290,302.64,304.64
1269834,146,24,1727,466.63,464.63
1176823,146,24,1109,309.43,309.43
1193098,146,24,1571,640.23,639.23
1034878,146,24,2956,640.23,640.23
1010243,146,24,2577,319.13,321.13
1451807,146,24,2640,319.13,321.13
1016845,146,24,1878,320.13,319.13
1198021,146,24,2306,243.5,335.62
1413802,146,24,1216,436.56,436.56
1231223,146,24,2126,486.03,486.03
1274226,146,24,2826,377.33,378.33
1425142,146,24,1754,334.71,334.71
1211593,146,24,1971,350.2,350.2
1419190,146,24,1902,447.23,446.23
1180223,146,24,1770,426.83,484.03
1194932,146,24,1198,228.01,228.01
1323477,146,24,1311,154.23,195.03
1371595,146,24,1803,179.45,215.4
1171521,146,24,1438,195,194
1052384,146,24,2494,196,194
1060921,146,24,1847,194,194
1261811,146,24,1558,562.6,562.6
1246502,146,24,2581,564.6,564.6
1497466,146,24,1962,558.72,560.72
1232717,146,24,1445,728.53,727.53
1136112,146,24,2867,728.53,728.53
1196334,146,24,2760,162.99,241.53
1349533,146,24,1525,320.13,320.13
1463406,146,24,2704,319.13,321.13
1447686,146,24,1543,486.03,484.03
1336105,146,24,2304,486.03,486.03
1012855,146,24,2664,311.43,311.43
1180646,146,24,2569,320.1,320.1
1062490,146,24,2490,292.03,290.03
1098228,146,11,1885,158.17,157.17
1101375,146,11,1993,159.14,159.14
1400016,146,11,2539,159.11,158.11
1439889,146,11,2139,291.03,292.03
1408468,146,11,2631,165.93,163.93
1044490,146,11,1248,163.93,164.93
1290002,146,11,1778,181.45,181.45
1190633,146,11,1062,179.48,180.48
1040430,146,11,2707,236.68,236.68
1049366,146,11,1207,389,390
1224120,146,11,1230,368.63,367.63
1293810,146,11,2322,379.3,378.3
1197335,146,11,2290,303.64,304.64
1323989,146,11,1727,466.63,464.63
1129467,146,11,1109,311.43,310.43
1229328,146,11,1571,639.23,641.23
1164395,146,11,2956,639.23,640.23
1217722,146,11,2577,320.13,321.13
1171266,146,11,2640,320.13,320.13
1024905,146,11,1878,320.13,321.13
1343027,146,11,2306,234.74,337.62
1141892,146,11,1216,436.56,436.56
1302404,146,11,2126,435.53,486.03
1170447,146,11,2826,377.33,378.33
1140772,146,11,1754,327.86,328.86
1103484,146,11,1971,345.35,346.35
1387134,146,11,1902,445.23,447.23
1117711,146,11,1247,445.23,446.23
1472121,146,11,1770,427.83,485.03
1289523,146,11,1198,191.09,220.22
